,Unnamed: 0,Titre,Sous-titre,Contenu,Contenu_corrected,cleaned_text,text_without_SW,bigram_freq,trigram_freq,token_freq
0,0,6.1  Purpose and Objectives of the Perform Qualitative Risk,,"Analysis Process
The Perform Qualitative Risk Analysis process assesses and evaluates characteristics of individually
identiﬁ ed project risks and prioritizes risks based on agreed-upon characteristics.
Assessing individual risks using qualitative risk analysis evaluates the probability that each risk will occur
and the effect of each individual risk on the project objectives. As such it does not directly address the overall
risk to project objectives that results from the combined effect of all risks and their potential interactions with
each other. This can however be achieved through use of quantitative risk analysis techniques (see Chapter 7).
One step in the analysis is to categorize risks according to their sources or causes. If several risks arise
from a common source, sometimes called a root cause, risk responses may be more effective when they focus
on addressing this root cause.
Identifying common effects from groups of risks allows identiﬁ cation of the areas of greatest risk exposure
(e.g. to the project completion date, the budget, or a particular deliverable’s scope), facilitating risk response
focus in these areas.
The methods of qualitative risk analysis are applied to the list of risks created or updated by the Identify
Risks process to provide project management with the characteristics of the risks that have the most inﬂ uence
(positive or negative) on achieving the project’s objectives. Risks that are assessed as high priority to either
threaten or to enhance the achievement of project objectives will be an important focus in the Plan Risk
Responses process. They may be further analyzed, such as in the analysis of the overall project risk that is
discussed in Perform Quantitative Risk Analysis process.",Analysis Process The Perform Qualitative Risk Analysis process assesses and evaluates characteristics of individually identic end project risks and prioritizes risks based on agreed-upon characteristics Assessing individual risks using qualitative risk analysis evaluates the probability that each risk will occur and the effect of each individual risk on the project objectives As such it does not directly address the overall risk to project objectives that results from the combined effect of all risks and their potential interactions with each other This can however be achieved through use of quantitative risk analysis techniques see Chapter 7). One step in the analysis is to categorize risks according to their sources or causes If several risks arise from a common source sometimes called a root cause risk responses may be more effective when they focus on addressing this root cause Identifying common effects from groups of risks allows identic cation of the areas of greatest risk exposure (e.g. to the project completion date the budget or a particular deliverable scope facilitating risk response focus in these areas The methods of qualitative risk analysis are applied to the list of risks created or updated by the Identify Risks process to provide project management with the characteristics of the risks that have the most in fence positive or negative on achieving the projects objectives Risks that are assessed as high priority to either threaten or to enhance the achievement of project objectives will be an important focus in the Plan Risk Responses process They may be further analyzed such as in the analysis of the overall project risk that is discussed in Perform Quantitative Risk Analysis process,analysis process the perform qualitative risk analysis process assesses and evaluates characteristics of individually identic end project risks and prioritizes risks based on agreed upon characteristics assessing individual risks using qualitative risk analysis evaluates the probability that each risk will occur and the effect of each individual risk on the project objectives as such it does not directly address the overall risk to project objectives that results from the combined effect of all risks and their potential interactions with each other this can however be achieved through use of quantitative risk analysis techniques see chapter 7 one step in the analysis is to categorize risks according to their sources or causes if several risks arise from a common source sometimes called a root cause risk responses may be more effective when they focus on addressing this root cause identifying common effects from groups of risks allows identic cation of the areas of greatest risk exposure e g to the project completion date the budget or a particular deliverable scope facilitating risk response focus in these areas the methods of qualitative risk analysis are applied to the list of risks created or updated by the identify risks process to provide project management with the characteristics of the risks that have the most in fence positive or negative on achieving the projects objectives risks that are assessed as high priority to either threaten or to enhance the achievement of project objectives will be an important focus in the plan risk responses process they may be further analyzed such as in the analysis of the overall project risk that is discussed in perform quantitative risk analysis process,analysis process perform risk analysis process assesses evaluates characteristics end project risks prioritizes risks based agreed characteristics assessing risks using risk analysis evaluates probability risk occur effect individual risk project objectives risk project objectives results effect risks interactions achieved use risk analysis techniques see chapter step analysis categorize risks according sources causes risks arise source called root cause risk responses focus addressing root cause identifying effects groups risks allows cation areas risk exposure e g project completion date budget scope facilitating risk response focus areas methods risk analysis applied list risks created updated identify risks process provide project management characteristics risks fence achieving projects objectives risks assessed priority threaten enhance achievement project objectives focus plan risk responses analyzed analysis project risk discussed perform risk analysis process,"{('risk', 'analysis'): 5, ('project', 'objective'): 4, ('analysis', 'process'): 3, ('risk', 'response'): 3, ('perform', 'risk'): 2, ('project', 'risk'): 2, ('risk', 'project'): 2, ('objective', 'risk'): 2, ('cause', 'risk'): 2, ('root', 'cause'): 2}","{('perform', 'risk', 'analysis'): 2, ('risk', 'analysis', 'process'): 2, ('risk', 'project', 'objective'): 2, ('project', 'objective', 'risk'): 2, ('risk', 'response', 'focus'): 2, ('analysis', 'process', 'perform'): 1, ('process', 'perform', 'risk'): 1, ('analysis', 'process', 'assesses'): 1, ('process', 'assesses', 'evaluates'): 1, ('assesses', 'evaluates', 'characteristic'): 1}","{'risk': 24, 'analysis': 8, 'project': 8, 'process': 4, 'objective': 4, 'characteristic': 3, 'effect': 3, 'cause': 3, 'response': 3, 'focus': 3}"
1,1,6.2  Critical Success Factors for the Perform Qualitative Risk,,"Analysis Process
Several factors that lead to successful qualitative risk analysis are described in Sections 6.2.1 through",Analysis Process Several factors that lead to successful qualitative risk analysis are described in Sections 6.2.1 through,analysis process several factors that lead to successful qualitative risk analysis are described in sections 6 2 1 through,analysis process factors lead risk analysis described sections,"{('analysis', 'process'): 1, ('process', 'factor'): 1, ('factor', 'lead'): 1, ('lead', 'risk'): 1, ('risk', 'analysis'): 1, ('analysis', 'described'): 1, ('described', 'section'): 1}","{('analysis', 'process', 'factor'): 1, ('process', 'factor', 'lead'): 1, ('factor', 'lead', 'risk'): 1, ('lead', 'risk', 'analysis'): 1, ('risk', 'analysis', 'described'): 1, ('analysis', 'described', 'section'): 1}","{'analysis': 2, 'process': 1, 'factor': 1, 'lead': 1, 'risk': 1, 'described': 1, 'section': 1}"
2,2,"6.2.4, and summarized in Figure 6-1. Agreement of the project stakeholders is a fundamental criterion and",,"a common theme. The agreed-upon approach is the foundation of process credibility. Then, agreed-upon
deﬁ nitions enable high-quality information to be collected. Finally, with these conditions in place, the process
can be executed reliably, which contributes to the credibility of its outputs.
32
6
CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS
Figure 6 -1. Building Risk Analysis Credibility",a common theme The agreed-upon approach is the foundation of process credibility then agreed-upon de nations enable high-quality information to be collected finally with these conditions in place the process can be executed reliably which contributes to the credibility of its outputs 32 6 CHAPTER 6 i PERFORM QUALITATIVE RISK ANALYSIS Figure 6 -1. Building Risk Analysis Credibility,a common theme the agreed upon approach is the foundation of process credibility then agreed upon de nations enable high quality information to be collected finally with these conditions in place the process can be executed reliably which contributes to the credibility of its outputs 32 6 chapter 6 i perform qualitative risk analysis figure 6 1 building risk analysis credibility,theme agreed approach foundation process credibility agreed nations quality information collected conditions place process executed contributes credibility outputs chapter perform risk analysis figure building risk analysis credibility,"{('risk', 'analysis'): 2, ('theme', 'agreed'): 1, ('agreed', 'approach'): 1, ('approach', 'foundation'): 1, ('foundation', 'process'): 1, ('process', 'credibility'): 1, ('credibility', 'agreed'): 1, ('agreed', 'nation'): 1, ('nation', 'quality'): 1, ('quality', 'information'): 1}","{('theme', 'agreed', 'approach'): 1, ('agreed', 'approach', 'foundation'): 1, ('approach', 'foundation', 'process'): 1, ('foundation', 'process', 'credibility'): 1, ('process', 'credibility', 'agreed'): 1, ('credibility', 'agreed', 'nation'): 1, ('agreed', 'nation', 'quality'): 1, ('nation', 'quality', 'information'): 1, ('quality', 'information', 'collected'): 1, ('information', 'collected', 'condition'): 1}","{'credibility': 3, 'agreed': 2, 'process': 2, 'risk': 2, 'analysis': 2, 'theme': 1, 'approach': 1, 'foundation': 1, 'nation': 1, 'quality': 1}"
3,3,6.2.1 Use Agreed-Upon Approach,,"The process is based on an agreed-upon approach to this assessment that is applied across all of the
identiﬁ ed risks in any project. By the nature of project risk, all risks may be assessed according to probability
of occurrence and impact on individual objectives should the risk occur. Other factors may be considered in
determining the importance of a risk as follows:
•  Urgency (proximity).  Risks requiring near term responses may be considered more urgent to
address. Indicators of urgency can include the lead time necessary to execute a risk response and the
clarity of symptoms and warning signs (also known as detectability) that may trigger the response.
Manageability.
•
Some risks are not manageable and it would be a waste of resources to attempt to
address them. The project team may examine these and decide to:
Go forward, perhaps establishing a contingency reserve.
○
Stop or re-scope the project because these risks pose an unmanageable threat or an
○
opportunity that should not be missed with high probability and consequences.
Inform the customer of the risks and ask for a decision from their point of view.
○
Impact external to the project.
•
A risk may increase in importance if it affects the enterprise beyond
the project.",The process is based on an agreed-upon approach to this assessment that is applied across all of the identic end risks in any project By the nature of project risk all risks may be assessed according to probability of occurrence and impact on individual objectives should the risk occur Other factors may be considered in determining the importance of a risk as follows i Urgency (proximity). Risks requiring near term responses may be considered more urgent to address Indicators of urgency can include the lead time necessary to execute a risk response and the clarity of symptoms and warning signs also known as detectability that may trigger the response manageability i Some risks are not manageable and it would be a waste of resources to attempt to address them The project team may examine these and decide to Go forward perhaps establishing a contingency reserve i Stop or rescore the project because these risks pose an unmanageable threat or an i opportunity that should not be missed with high probability and consequences Inform the customer of the risks and ask for a decision from their point of view i Impact external to the project i A risk may increase in importance if it affects the enterprise beyond the project,the process is based on an agreed upon approach to this assessment that is applied across all of the identic end risks in any project by the nature of project risk all risks may be assessed according to probability of occurrence and impact on individual objectives should the risk occur other factors may be considered in determining the importance of a risk as follows i urgency proximity risks requiring near term responses may be considered more urgent to address indicators of urgency can include the lead time necessary to execute a risk response and the clarity of symptoms and warning signs also known as detectability that may trigger the response manageability i some risks are not manageable and it would be a waste of resources to attempt to address them the project team may examine these and decide to go forward perhaps establishing a contingency reserve i stop or rescore the project because these risks pose an unmanageable threat or an i opportunity that should not be missed with high probability and consequences inform the customer of the risks and ask for a decision from their point of view i impact external to the project i a risk may increase in importance if it affects the enterprise beyond the project,process based agreed approach assessment applied end risks project nature project risk risks assessed according probability occurrence impact objectives risk occur factors considered determining importance risk follows proximity risks requiring term responses considered address indicators urgency include time execute risk response clarity symptoms warning signs known detectability trigger response manageability risks waste resources attempt address project team examine decide go establishing contingency reserve stop rescore project risks pose threat opportunity missed probability consequences inform customer risks ask decision point view impact project risk increase importance affects enterprise project,"{('project', 'risk'): 3, ('process', 'based'): 1, ('based', 'agreed'): 1, ('agreed', 'approach'): 1, ('approach', 'assessment'): 1, ('assessment', 'applied'): 1, ('applied', 'end'): 1, ('end', 'risk'): 1, ('risk', 'project'): 1, ('project', 'nature'): 1}","{('process', 'based', 'agreed'): 1, ('based', 'agreed', 'approach'): 1, ('agreed', 'approach', 'assessment'): 1, ('approach', 'assessment', 'applied'): 1, ('assessment', 'applied', 'end'): 1, ('applied', 'end', 'risk'): 1, ('end', 'risk', 'project'): 1, ('risk', 'project', 'nature'): 1, ('project', 'nature', 'project'): 1, ('nature', 'project', 'risk'): 1}","{'risk': 11, 'project': 6, 'response': 3, 'probability': 2, 'impact': 2, 'considered': 2, 'importance': 2, 'address': 2, 'process': 1, 'based': 1}"
4,4,6.2.2 Use Agreed-Upon Deﬁ nitions of Risk Terms,,"The risk assessment should be based on agreed-upon deﬁ nitions of important terms, and those deﬁ nitions
should be used consistently when assessing each risk. The use of deﬁ nitions, for example, of levels of probability
and of impact on objectives, assists the providers of the information in giving realistic assessments for each
risk, and facilitates the communication of the results to management and other stakeholders.
33
6
CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS",The risk assessment should be based on agreed-upon de nations of important terms and those de nations should be used consistently when assessing each risk The use of de nations for example of levels of probability and of impact on objectives assists the providers of the information in giving realistic assessments for each risk and facilitates the communication of the results to management and other stakeholders 33 6 CHAPTER 6 i PERFORM QUALITATIVE RISK ANALYSIS,the risk assessment should be based on agreed upon de nations of important terms and those de nations should be used consistently when assessing each risk the use of de nations for example of levels of probability and of impact on objectives assists the providers of the information in giving realistic assessments for each risk and facilitates the communication of the results to management and other stakeholders 33 6 chapter 6 i perform qualitative risk analysis,risk assessment based nations terms nations used assessing risk use nations example levels probability impact objectives assists providers information giving assessments risk facilitates communication results management stakeholders chapter perform risk analysis,"{('risk', 'assessment'): 1, ('assessment', 'based'): 1, ('based', 'nation'): 1, ('nation', 'term'): 1, ('term', 'nation'): 1, ('nation', 'used'): 1, ('used', 'assessing'): 1, ('assessing', 'risk'): 1, ('risk', 'use'): 1, ('use', 'nation'): 1}","{('risk', 'assessment', 'based'): 1, ('assessment', 'based', 'nation'): 1, ('based', 'nation', 'term'): 1, ('nation', 'term', 'nation'): 1, ('term', 'nation', 'used'): 1, ('nation', 'used', 'assessing'): 1, ('used', 'assessing', 'risk'): 1, ('assessing', 'risk', 'use'): 1, ('risk', 'use', 'nation'): 1, ('use', 'nation', 'example'): 1}","{'risk': 4, 'nation': 3, 'assessment': 2, 'based': 1, 'term': 1, 'used': 1, 'assessing': 1, 'use': 1, 'example': 1, 'level': 1}"
5,5,6.2.3 Collect High-Quality Information about Risks,,"Collection of high-quality information about risks is required. Often this information is not available in any
historic database and should be gathered by interviews, workshops, and other means using expert judgment. Data
gathered from individuals may be subject to reporting or intentional bias. When this occurs, the bias should be
identiﬁ ed and remedied where possible, or a different, unbiased source of information should be found and used.",Collection of high-quality information about risks is required Often this information is not available in any historic database and should be gathered by interviews workshops and other means using expert judgment Data gathered from individuals may be subject to reporting or intentional bias When this occurs the bias should be identic end and remedied where possible or a different unbiased source of information should be found and used,collection of high quality information about risks is required often this information is not available in any historic database and should be gathered by interviews workshops and other means using expert judgment data gathered from individuals may be subject to reporting or intentional bias when this occurs the bias should be identic end and remedied where possible or a different unbiased source of information should be found and used,collection quality information risks required information database gathered interviews workshops means using judgment data gathered individuals reporting bias occurs bias end remedied source information found used,"{('collection', 'quality'): 1, ('quality', 'information'): 1, ('information', 'risk'): 1, ('risk', 'required'): 1, ('required', 'information'): 1, ('information', 'database'): 1, ('database', 'gathered'): 1, ('gathered', 'interview'): 1, ('interview', 'workshop'): 1, ('workshop', 'mean'): 1}","{('collection', 'quality', 'information'): 1, ('quality', 'information', 'risk'): 1, ('information', 'risk', 'required'): 1, ('risk', 'required', 'information'): 1, ('required', 'information', 'database'): 1, ('information', 'database', 'gathered'): 1, ('database', 'gathered', 'interview'): 1, ('gathered', 'interview', 'workshop'): 1, ('interview', 'workshop', 'mean'): 1, ('workshop', 'mean', 'using'): 1}","{'information': 3, 'gathered': 2, 'bias': 2, 'collection': 1, 'quality': 1, 'risk': 1, 'required': 1, 'database': 1, 'interview': 1, 'workshop': 1}"
6,6,6.2.4 Perform Iterative Qualitative Risk Analysis,,"The success of qualitative risk analysis is enhanced if the process is used periodically throughout the project. It
is impossible to know in advance all the risks that may occur in a project, therefore the Identify Risks and Perform
Qualitative Analysis processes should be repeated periodically for individual risks. The frequency of this effort will
be planned in the Plan Risk Management process, but may also depend on events within the project itself.",The success of qualitative risk analysis is enhanced if the process is used periodically throughout the project It is impossible to know in advance all the risks that may occur in a project therefore the Identify Risks and Perform Qualitative Analysis processes should be repeated periodically for individual risks The frequency of this effort will be planned in the Plan Risk Management process but may also depend on events within the project itself,the success of qualitative risk analysis is enhanced if the process is used periodically throughout the project it is impossible to know in advance all the risks that may occur in a project therefore the identify risks and perform qualitative analysis processes should be repeated periodically for individual risks the frequency of this effort will be planned in the plan risk management process but may also depend on events within the project itself,success risk analysis enhanced process used project know advance risks occur project identify risks perform analysis processes repeated risks frequency effort planned plan risk management process depend events project,"{('success', 'risk'): 1, ('risk', 'analysis'): 1, ('analysis', 'enhanced'): 1, ('enhanced', 'process'): 1, ('process', 'used'): 1, ('used', 'project'): 1, ('project', 'know'): 1, ('know', 'advance'): 1, ('advance', 'risk'): 1, ('risk', 'occur'): 1}","{('success', 'risk', 'analysis'): 1, ('risk', 'analysis', 'enhanced'): 1, ('analysis', 'enhanced', 'process'): 1, ('enhanced', 'process', 'used'): 1, ('process', 'used', 'project'): 1, ('used', 'project', 'know'): 1, ('project', 'know', 'advance'): 1, ('know', 'advance', 'risk'): 1, ('advance', 'risk', 'occur'): 1, ('risk', 'occur', 'project'): 1}","{'risk': 5, 'process': 3, 'project': 3, 'analysis': 2, 'success': 1, 'enhanced': 1, 'used': 1, 'know': 1, 'advance': 1, 'occur': 1}"
7,7,6.3  Tools and Techniques for the Perform Qualitative Risk Analysis Process,,"The tools and techniques used for assessing individual risks will identify the risks that are important to the
project’s success. This process is illustrated in Figure 6-2.
Figure 6-2. The Perform Qualitative Risk Analysis Process
34
6
CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS",The tools and techniques used for assessing individual risks will identify the risks that are important to the projects success This process is illustrated in Figure 6-2. Figure 6-2. The Perform Qualitative Risk Analysis Process 34 6 CHAPTER 6 i PERFORM QUALITATIVE RISK ANALYSIS,the tools and techniques used for assessing individual risks will identify the risks that are important to the projects success this process is illustrated in figure 6 2 figure 6 2 the perform qualitative risk analysis process 34 6 chapter 6 i perform qualitative risk analysis,tools techniques used assessing risks identify risks projects success process illustrated figure figure perform risk analysis process chapter perform risk analysis,"{('perform', 'risk'): 2, ('risk', 'analysis'): 2, ('tool', 'technique'): 1, ('technique', 'used'): 1, ('used', 'assessing'): 1, ('assessing', 'risk'): 1, ('risk', 'identify'): 1, ('identify', 'risk'): 1, ('risk', 'project'): 1, ('project', 'success'): 1}","{('perform', 'risk', 'analysis'): 2, ('tool', 'technique', 'used'): 1, ('technique', 'used', 'assessing'): 1, ('used', 'assessing', 'risk'): 1, ('assessing', 'risk', 'identify'): 1, ('risk', 'identify', 'risk'): 1, ('identify', 'risk', 'project'): 1, ('risk', 'project', 'success'): 1, ('project', 'success', 'process'): 1, ('success', 'process', 'illustrated'): 1}","{'risk': 4, 'process': 2, 'figure': 2, 'perform': 2, 'analysis': 2, 'tool': 1, 'technique': 1, 'used': 1, 'assessing': 1, 'identify': 1}"
8,8,6.3.1 Select Risk Characteristics that Deﬁ ne Risks’ Importance,,"Qualitative risk analysis tools provide ways to distinguish those risks that are important for response or
further analysis from those that are less important. The criteria that make a risk of interest to management are
agreed upon in advance and implemented in the tools used. Output from qualitative risk analysis tools includes
a listing of risks in priority order or in priority groups (e.g., high, moderate, and low).
The tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels
or combinations of risk characteristics that make a particular risk of interest to management. Most tools assess
a risk’s importance from a combination of probability of occurrence and degree of impact on objectives.","Qualitative risk analysis tools provide ways to distinguish those risks that are important for response or further analysis from those that are less important The criteria that make a risk of interest to management are agreed upon in advance and implemented in the tools used Output from qualitative risk analysis tools includes a listing of risks in priority order or in priority groups (e.g., high moderate and low The tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels or combinations of risk characteristics that make a particular risk of interest to management Most tools assess a risks importance from a combination of probability of occurrence and degree of impact on objectives",qualitative risk analysis tools provide ways to distinguish those risks that are important for response or further analysis from those that are less important the criteria that make a risk of interest to management are agreed upon in advance and implemented in the tools used output from qualitative risk analysis tools includes a listing of risks in priority order or in priority groups e g high moderate and low the tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels or combinations of risk characteristics that make a particular risk of interest to management most tools assess a risks importance from a combination of probability of occurrence and degree of impact on objectives,risk analysis tools provide ways distinguish risks response analysis criteria make risk interest management agreed advance implemented tools used output risk analysis tools includes listing risks priority order priority groups e moderate tools risk analysis organization project stakeholders specify levels combinations risk characteristics make risk interest management tools assess risks importance combination probability occurrence degree impact objectives,"{('risk', 'analysis'): 3, ('analysis', 'tool'): 2, ('make', 'risk'): 2, ('risk', 'interest'): 2, ('interest', 'management'): 2, ('tool', 'provide'): 1, ('provide', 'way'): 1, ('way', 'distinguish'): 1, ('distinguish', 'risk'): 1, ('risk', 'response'): 1}","{('risk', 'analysis', 'tool'): 2, ('make', 'risk', 'interest'): 2, ('risk', 'interest', 'management'): 2, ('analysis', 'tool', 'provide'): 1, ('tool', 'provide', 'way'): 1, ('provide', 'way', 'distinguish'): 1, ('way', 'distinguish', 'risk'): 1, ('distinguish', 'risk', 'response'): 1, ('risk', 'response', 'analysis'): 1, ('response', 'analysis', 'criterion'): 1}","{'risk': 9, 'tool': 5, 'analysis': 4, 'make': 2, 'interest': 2, 'management': 2, 'priority': 2, 'combination': 2, 'provide': 1, 'way': 1}"
9,9,6.3.2 Collect and Analyze Data,,"Assessment of individual risks is based on information collected about them. Therefore, data collection
and evaluation tools, including interviews, workshops, and references to databases of prior projects, require
management support and attention. It is important to protect against bias in data gathering, which is important
when relying on expert judgment for the information.",Assessment of individual risks is based on information collected about them therefore data collection and evaluation tools including interviews workshops and references to databases of prior projects require management support and attention It is important to protect against bias in data gathering which is important when relying on expert judgment for the information,assessment of individual risks is based on information collected about them therefore data collection and evaluation tools including interviews workshops and references to databases of prior projects require management support and attention it is important to protect against bias in data gathering which is important when relying on expert judgment for the information,assessment risks based information collected data collection evaluation tools including interviews workshops references databases projects require management support attention protect bias data gathering relying judgment information,"{('assessment', 'risk'): 1, ('risk', 'based'): 1, ('based', 'information'): 1, ('information', 'collected'): 1, ('collected', 'data'): 1, ('data', 'collection'): 1, ('collection', 'evaluation'): 1, ('evaluation', 'tool'): 1, ('tool', 'including'): 1, ('including', 'interview'): 1}","{('assessment', 'risk', 'based'): 1, ('risk', 'based', 'information'): 1, ('based', 'information', 'collected'): 1, ('information', 'collected', 'data'): 1, ('collected', 'data', 'collection'): 1, ('data', 'collection', 'evaluation'): 1, ('collection', 'evaluation', 'tool'): 1, ('evaluation', 'tool', 'including'): 1, ('tool', 'including', 'interview'): 1, ('including', 'interview', 'workshop'): 1}","{'information': 2, 'data': 2, 'assessment': 1, 'risk': 1, 'based': 1, 'collected': 1, 'collection': 1, 'evaluation': 1, 'tool': 1, 'including': 1}"
